name,time,loss,acc
default,7.760937452316284,0.5596940517425537,0.7599999904632568
5-epochs,5.5725202560424805,0.6803271770477295,0.47333332896232605
20-epochs,13.06860065460205,0.4386991262435913,0.7599999904632568
16-batches,12.050774097442627,0.44847777485847473,0.7733333110809326
64-batches,6.421314001083374,0.6421334743499756,0.6333333253860474
model_a,7.178400754928589,0.6713205575942993,0.5866666436195374
model_c,8.069864511489868,0.42105400562286377,0.800000011920929
model_c,9.204011678695679,0.4217647314071655,0.7933333516120911
tanh,7.77762770652771,0.5038139224052429,0.7599999904632568
hinge,8.76960039138794,0.990735650062561,0.46000000834465027
sgd,5.37127947807312,0.695747435092926,0.47333332896232605
sgd,6.776113748550415,0.6940887570381165,0.47333332896232605
